INFO  - 2014-01-30 14:26:05.218; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072634580992)]} 0 0
INFO  - 2014-01-30 14:26:05.225; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072642969600)]} 0 0
INFO  - 2014-01-30 14:26:05.233; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072650309632)]} 0 1
INFO  - 2014-01-30 14:26:05.239; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072657649664)]} 0 0
INFO  - 2014-01-30 14:26:05.246; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072664989696)]} 0 0
INFO  - 2014-01-30 14:26:05.253; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072672329728)]} 0 0
INFO  - 2014-01-30 14:26:05.268; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072687009792)]} 0 1
INFO  - 2014-01-30 14:26:05.275; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072694349824)]} 0 1
INFO  - 2014-01-30 14:26:05.282; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072701689856)]} 0 1
INFO  - 2014-01-30 14:26:05.289; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072710078464)]} 0 0
INFO  - 2014-01-30 14:26:05.297; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072717418496)]} 0 1
INFO  - 2014-01-30 14:26:05.303; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072724758528)]} 0 0
INFO  - 2014-01-30 14:26:05.310; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072732098560)]} 0 0
INFO  - 2014-01-30 14:26:05.317; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072739438592)]} 0 0
INFO  - 2014-01-30 14:26:05.324; org.apache.solr.update.processor.LogUpdateProcessor; [omni] webapp=/solr path=/update params={wt=ruby} {add=[Omni::Color 0 (1458692072746778624)]} 0 0
